Fecha,Unidad de negocio,No. Empleado,No. usuario,Proceso,Tipo de almacén,Area,Ubic.procedencia,Renglones,Piezas,Volumen m3,Volumen cm3,Peso,Codigos,Cajas,Tarimas,Folios,Tiempo,ID
01/08/2023,RRRP,100692,AL100692,Salida de almacén,NC00,NCFB,NC,4,420,0.15730288,157302.88,71.696,,,,,0.02,RRRPSalida de almacénNC00NCNCFB
01/08/2023,RRRP,100223,AL100223,Salida de almacén,NC00,NCFB,NC,16,1252,0.650312826,650312.826,165.162,,,,,0.783333333,RRRPSalida de almacénNC00NCNCFB
01/08/2023,RRRP,100304,AL100304,Salida de almacén,NC00,NCFB,NC,9,267,0.154299692,154299.692,54.935,,,,,0.178055556,RRRPSalida de almacénNC00NCNCFB
01/08/2023,RRRP,918325,AL918325,Salida de almacén,NC00,NCFA,NC,8,1560,0.85223808,852238.08,350.925,,,,,0.709722222,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,100705,AL100705,Salida de almacén,NC00,NCFB,NC,24,1608,0.824664045,824664.045,340.745,,,,,1.014722222,RRRPSalida de almacénNC00NCNCFB
01/08/2023,RRRP,100435,AL100435,Salida de almacén,NC00,NCFA,NC,16,2995,1.832977545,1832977.545,435.303,,,,,0.875,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,100731,AL100731,Salida de almacén,NC00,NCFB,NC,19,1396,0.827453086,827453.086,138.763,,,,,0.649722222,RRRPSalida de almacénNC00NCNCFB
01/08/2023,RRRP,100760,AL100760,Salida de almacén,NC00,NCFB,NC,1,150,0.105165,105165,51.65,,,,,0.167777778,RRRPSalida de almacénNC00NCNCFB
01/08/2023,RRRP,100188,AL100188,Salida de almacén,NC00,NCFA,NC,9,756,1.58737738,1587377.38,345.39,,,,,0.650833333,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,918145,AL918145,Salida de almacén,NC00,NCFA,NC,10,1656,1.019900232,1019900.232,365.761,,,,,1.285555556,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,100223,AL100223,Salida de almacén,NC00,NCFA,NC,5,570,1.02246272,1022462.72,340.752,,,,,0.528611111,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,100075,AL100075,Salida de almacén,NC00,NCFA,NC,9,2258,2.84533134,2845331.34,1133.245,,,,,0.876944444,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,JTREJO1,JTREJO1,Salida de almacén,NC00,NCFA,NC,10,2278,2.21992878,2219928.78,759.636,,,,,0.736666667,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,100480,AL100480,Salida de almacén,NC00,NCFB,NC,7,838,0.578047304,578047.304,109.148,,,,,0.192222222,RRRPSalida de almacénNC00NCNCFB
01/08/2023,RRRP,100709,AL100709,Salida de almacén,NC00,NCFA,NC,5,1008,0.908512788,908512.788,214.896,,,,,0.6025,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,100232,AL100232,Salida de almacén,NC00,NCFA,NC,3,1176,1.00228704,1002287.04,437.295,,,,,0.330555556,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,100527,AL100527,Salida de almacén,NC00,NCFA,NC,5,1696,1.07812185,1078121.85,375.013,,,,,0.558611111,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,100727,AL100727,Salida de almacén,NC00,NCFA,NC,4,1032,1.00852088,1008520.88,240.54,,,,,0.550833333,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,100528,AL100528,Salida de almacén,NC00,NCFB,NC,29,2917,1.932692509,1932692.509,421.573,,,,,1.021111111,RRRPSalida de almacénNC00NCNCFB
01/08/2023,RRRP,100655,AL100655,Salida de almacén,NC00,NCFA,NC,10,2796,1.98774236,1987742.36,833.435,,,,,1.152222222,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,100680,AL100680,Salida de almacén,NC00,NCFA,NC,8,2011,2.10117048,2101170.48,829.383,,,,,0.992777778,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,910094,AL910094,Salida de almacén,NC00,NCFA,NC,9,1440,0.511956376,511956.376,211.731,,,,,1.140277778,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,910094,AL910094,Salida de almacén,NC00,NCFB,NC,15,2046,1.027997988,1027997.988,378.422,,,,,0.518055556,RRRPSalida de almacénNC00NCNCFB
01/08/2023,RRRP,100760,AL100760,Salida de almacén,NC00,NCFA,NC,11,2641,2.029366914,2029366.914,751.773,,,,,1.558611111,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,100130,AL100130,Salida de almacén,NC00,NCFB,NC,1,732,0.34447554,344475.54,198.067,,,,,0.0025,RRRPSalida de almacénNC00NCNCFB
01/08/2023,RRRP,100464,AL100464,Salida de almacén,NC00,NCFA,NC,11,3518,2.144352914,2144352.914,659.431,,,,,0.857777778,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,100528,AL100528,Salida de almacén,NC00,NCFA,NC,23,2334,3.79408781,3794087.81,1739.749,,,,,1.52,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,100741,AL100741,Salida de almacén,NC00,NCFB,NC,17,1880,1.220368911,1220368.911,504.501,,,,,0.904722222,RRRPSalida de almacénNC00NCNCFB
01/08/2023,RRRP,JTREJO1,JTREJO1,Salida de almacén,NC00,NCFB,NC,1,80,10.6496,10649600,7.56,,,,,0.040555556,RRRPSalida de almacénNC00NCNCFB
01/08/2023,RRRP,100690,AL100690,Salida de almacén,NC00,NCFA,NC,3,2184,0.86437782,864377.82,367.29,,,,,0.551666667,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,100644,AL100644,Salida de almacén,NC00,NCFA,NC,5,1668,1.07826811,1078268.11,255.9,,,,,0.726666667,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,100323,AL100323,Salida de almacén,NC00,NCFA,NC,11,3222,2.678039,2678039,677.366,,,,,0.999444444,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,100732,AL100732,Salida de almacén,NC00,NCFA,NC,7,1056,1.30786623,1307866.23,392.287,,,,,0.896388889,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,100680,AL100680,Salida de almacén,NC00,NCFB,NC,1,90,0.06788985,67889.85,8.85,,,,,0.102222222,RRRPSalida de almacénNC00NCNCFB
