Fecha,Unidad de negocio,No. Empleado,No. usuario,Proceso,Tipo de almacén,Area,Ubic.procedencia,Renglones,Piezas,Volumen m3,Volumen cm3,Peso,Codigos,Cajas,Tarimas,Folios,Tiempo,ID,Renglones por hora,Piezas por hora,Volumen m3 por hora,Codigos por hora,Cajas por hora,Tarimas por hora,Folios por hora,Peso por hora,Renglones Obtenido,Pieza Obtenido,Volumen m3 Obtenido,Codigos Obtenido,Cajas Obtenido,Tarimas Otenido,Folios Obtenido,RPV,Ponderacion,Ponderacion Valor,Evaluacion de desempeño
14/08/2023,RRRP,100000,,Embarque,,,,,,,,,,2787,27,,6,RRRPEmbarque,0,0,0,0,464.5,4.5,0,,0,0,0,0,248.8392857,176.0869565,0,360,360,150,Productivo
15/08/2023,RRRP,100000,,Embarque,,,,,,,,,,2245,23,,6,RRRPEmbarque,0,0,0,0,374.1666667,3.833333333,0,,0,0,0,0,200.4464286,150,0,350.4464286,350.4464286,150,Productivo
16/08/2023,RRRP,100000,,Embarque,,,,,,,,,,1751,22,,6,RRRPEmbarque,0,0,0,0,291.8333333,3.666666667,0,,0,0,0,0,156.3392857,143.4782609,0,299.8175466,299.8175466,150,Productivo
17/08/2023,RRRP,100000,,Embarque,,,,,,,,,,2455,29,,6,RRRPEmbarque,0,0,0,0,409.1666667,4.833333333,0,,0,0,0,0,219.1964286,189.1304348,0,360,360,150,Productivo
18/08/2023,RRRP,100000,,Embarque,,,,,,,,,,1213,18,,6,RRRPEmbarque,0,0,0,0,202.1666667,3,0,,0,0,0,0,108.3035714,117.3913043,0,225.6948758,225.6948758,150,Improductivo
15/08/2023,RRRP,100003,AL100003,Salida de almacén,NC00,NCFB,NC,13,1296,2.110757615,2110757.615,5632.59,,,,,0.962222222,RRRPSalida de almacénNC00NCNCFB,13.51039261,1346.882217,2.193628006,0,0,0,0,5853.730947,63.24121466,75.42877528,209.6141658,0,0,0,0,348.2841557,32.28754256,100,Productivo
15/08/2023,RRRP,100003,AL100003,Salida de almacén,NC00,NCFA,NC,1,36,0.03079584,30795.84,24.3,,,,,0.273055556,RRRPSalida de almacénNC00NCNCFA,3.662258393,131.8413021,0.112782323,0,0,0,0,88.99287894,32.91672722,6.121912477,7.810450174,0,0,0,0,46.84908987,1.232474853,100,Improductivo
15/08/2023,RRRP,100003,AL100003,Salida de almacén,NC01,NCNA,FC,17,2790,1.03895647,1038956.47,329.288,,,,,8.080833333,RRRPSalida de almacénNC01FCNCNA,2.103743426,345.2614211,0.128570461,0,0,0,0,40.74926266,18.37179355,7.937907635,8.962478528,0,0,0,0,35.27217971,27.46087299,100,Improductivo
15/08/2023,RRRP,100003,AL100003,Salida de almacén,NCL0,NCL0,BR,5,1428,1.392939,1392939,143.178,,,,,1.063333333,RRRPSalida de almacénNCL0BRNCL0,4.702194357,1342.946708,1.309973981,0,0,0,0,134.6501567,100.7172034,116.0025848,27.0723074,0,0,0,0,243.7920956,24.97554306,100,Improductivo
06/08/2023,RRRP,100003,AL100003,Entrada en stock,,NCFA,NC,2,1332,0.72213276,722132.76,354.24,,,,,0.020277778,RRRPEntrada en stockNCNCFA,98.63013699,65687.67123,35.61202652,0,0,0,0,17469.36986,300,300,297.2656278,0,0,0,0,360,360,100,Productivo
02/08/2023,3PL,100017,,3PL Surtido Sanfer,,Unica,,,5820,,,,,,,,6,3PL3PL Surtido SanferUnica,0,970,0,0,0,0,0,,0,300,0,0,0,0,0,300,300,300,Productivo
03/08/2023,3PL,100017,,3PL Surtido Sanfer,,Unica,,,4605,,,,,,,,5.5,3PL3PL Surtido SanferUnica,0,837.2727273,0,0,0,0,0,,0,276.023976,0,0,0,0,0,276.023976,276.023976,300,Productivo
04/08/2023,3PL,100017,,3PL Surtido Sanfer,,Unica,,,5675,,,,,,,,6.5,3PL3PL Surtido SanferUnica,0,873.0769231,0,0,0,0,0,,0,287.8275571,0,0,0,0,0,287.8275571,287.8275571,300,Productivo
07/08/2023,3PL,100017,,3PL Surtido Sanfer,,Unica,,,3654,,,,,,,,4.5,3PL3PL Surtido SanferUnica,0,812,0,0,0,0,0,,0,267.6923077,0,0,0,0,0,267.6923077,267.6923077,300,Productivo
08/08/2023,3PL,100017,,3PL Surtido Sanfer,,Unica,,,6218,,,,,,,,7,3PL3PL Surtido SanferUnica,0,888.2857143,0,0,0,0,0,,0,292.8414443,0,0,0,0,0,292.8414443,292.8414443,300,Productivo
09/08/2023,3PL,100017,,3PL Surtido Sanfer,,Unica,,,6793,,,,,,,,7,3PL3PL Surtido SanferUnica,0,970.4285714,0,0,0,0,0,,0,300,0,0,0,0,0,300,300,300,Productivo
